防迷路,#genre#
10月21日更新,https://vdse.bdstatic.com//01b1f78bb5b009d36ce3f5051e7383c1.mp4
关注TG群,http://139.196.228.200:5678/公众号搞机大师/美女跳舞.mp4
TG群t.me/gaojidashi,http://139.196.228.200:1234/mingpian.mp4
10T夸克网盘资源分享,http://139.196.228.200:5678/公众号搞机大师/夸克网盘分享公众号名片.mp4
关注微信公众号↓,http://139.196.228.200:5678/公众号搞机大师/组播全自动获取.mp4
公众号：搞机大师,http://139.196.228.200:5678/公众号搞机大师/群晖部署IPTV.mp4
QQ群906068168,http://139.196.228.200:5678/公众号搞机大师/部署微信聊天机器人.mp4
关注抖音号↓,http://139.196.228.200:5678/公众号搞机大师/酒店源获取工具.mp4
35492379515,http://139.196.228.200:5678/公众号搞机大师/魔百盒刷LINUX.mp4

4K8K,#genre#
cctv4k-SDR,http://139.196.228.200:35455/tptv/G_CCTV-4K-HD.m3u8
cctv4k_10m,http://139.196.228.200:35455/ysptp/cctv4k_10m.m3u8
cctv4k,http://139.196.228.200:35455/ysptp/cctv4k.m3u8
北京纪实科教8K,https://gdcucc.v1.mk/gdcucc/brtv8k.m3u8
cctv8k_36m,http://139.196.228.200:35455/ysptp/cctv8k_36m.m3u8
cctv8k_120m,http://139.196.228.200:35455/ysptp/cctv8k_120m.m3u8
cctv1-4K,http://139.196.228.200:35455/tptv/G_CCTV-1-AVS-4K264.m3u8
cctv3-4K,http://139.196.228.200:35455/tptv/G_CCTV-3-AVS-4K264.m3u8
CCTV-16-4K-HEVC,http://139.196.228.200:35455/itv/5000000008000023254.m3u8?cdn=bestzb
cctv164k_10m,http://139.196.228.200:35455/ysptp/cctv4k16_10m.m3u8
cctv164k,http://139.196.228.200:35455/ysptp/cctv4k16.m3u8
cctv16-4K-SDR,http://139.196.228.200:35455/tptv/G_CCTV-16-4K.m3u8
华数-4K,http://139.196.228.200:35455/itv/6000000003000004748.m3u8?cdn=wasusyt
纯享-4K,http://139.196.228.200:35455/itv/1000000004000011651.m3u8?cdn=ystenlive
纯享4K-TPTV,http://139.196.228.200:35455/tptv/HD-20M-2160P-chunxiang4k.m3u8
咪咕4K-1,http://139.196.228.200:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
咪咕4K-2,http://139.196.228.200:35455/itv/3000000010000015686.m3u8?cdn=FifastbLive
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
篮球4K,http://139.196.228.200:35455/tptv/miguaoyun01-AVS-4K01.m3u8


央視,#genre#

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CETV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8
CETV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8


cctv1-高码,http://139.196.228.200:35455/ysptp/cctv1.m3u8
CCTV-1,http://139.196.228.200:35455/itv/6000000001000029752.m3u8?cdn=wasusyt
CCTV-1-50-FPS,http://139.196.228.200:35455/itv/5000000004000002226.m3u8?cdn=bestzb
CCTV-1-HEVC,http://139.196.228.200:35455/itv/1000000005000265001.m3u8?cdn=ystenlive
cctv2-高码,http://139.196.228.200:35455/ysptp/cctv2.m3u8
CCTV-2,http://139.196.228.200:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
CCTV-2-50-FPS,http://139.196.228.200:35455/itv/6000000001000014161.m3u8?cdn=wasusyt
CCTV-2-HEVC,http://139.196.228.200:35455/itv/1000000001000023315.m3u8?cdn=ystenlive
cctv3-高码,http://139.196.228.200:35455/ysptp/cctv3.m3u8
CCTV-3,http://139.196.228.200:35455/itv/6000000001000022313.m3u8?cdn=wasusyt
CCTV-3-HEVC,http://139.196.228.200:35455/itv/1000000005000265003.m3u8?cdn=ystenlive
cctv4-高码,http://139.196.228.200:35455/ysptp/cctv4.m3u8
CCTV-4-50-FPS,http://139.196.228.200:35455/itv/5000000011000031102.m3u8?cdn=bestzb
CCTV-4-HEVC,http://139.196.228.200:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv5-高码,http://139.196.228.200:35455/ysptp/cctv5.m3u8
cctv5-4K,http://139.196.228.200:35455/tptv/G_CCTV-5-AVS-4K264.m3u8
CCTV-5,http://139.196.228.200:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5-HEVC,http://139.196.228.200:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
cctv5p-高码,http://139.196.228.200:35455/ysptp/cctv5p.m3u8
CCTV-5+,http://139.196.228.200:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+-HEVC,http://139.196.228.200:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
cctv6-高码,http://139.196.228.200:35455/tptv/G_CCTV-6-AVS-4K264.m3u8
CCTV-6,http://139.196.228.200:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV-6-50-FPS,http://139.196.228.200:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
CCTV-6-HEVC,http://139.196.228.200:35455/itv/1000000005000265006.m3u8?cdn=ystenlive
cctv7-高码,http://139.196.228.200:35455/ysptp/cctv7.m3u8
CCTV-7,http://139.196.228.200:35455/itv/1000000001000024341.m3u8?cdn=ystenlive
CCTV-7-50-FPS,http://139.196.228.200:35455/itv/6000000001000009055.m3u8?cdn=wasusyt
CCTV-7-HEVC,http://139.196.228.200:35455/itv/1000000005000265007.m3u8?cdn=ystenlive
cctv8-高码,http://139.196.228.200:35455/ysptp/cctv8.m3u8
CCTV-8,http://139.196.228.200:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV-8-HEVC,http://139.196.228.200:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
cctv9-高码,http://139.196.228.200:35455/ysptp/cctv9.m3u8
CCTV-9,http://139.196.228.200:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV-9-50-FPS,http://139.196.228.200:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV-9-HEVC,http://139.196.228.200:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
cctv10-高码,http://139.196.228.200:35455/ysptp/cctv10.m3u8
CCTV-10,http://139.196.228.200:35455/itv/1000000001000023734.m3u8?cdn=ystenlive
CCTV-10-50-FPS,http://139.196.228.200:35455/itv/5000000004000012827.m3u8?cdn=bestzb
CCTV-10-HEVC,http://139.196.228.200:35455/itv/1000000005000265010.m3u8?cdn=ystenlive
cctv11-高码,http://139.196.228.200:35455/ysptp/cctv11.m3u8
