央视,#genre#
CCTV1,http://192.168.0.101:35455/rptv/G_CCTV-1-AVS-4K264.m3u8?license=gitv
CCTV1,http://192.168.0.101:35455/rptv/G_CCTV-1-HD-265-8M.m3u8?license=gitv
CCTV2,http://192.168.0.101:35455/rptv/G_CCTV-2-HD-265-8M.m3u8?license=gitv
CCTV3,http://192.168.0.101:35455/rptv/G_CCTV-3-AVS-4K264.m3u8?license=gitv
CCTV3,http://192.168.0.101:35455/rptv/G_CCTV-3-HD-265-8M.m3u8?license=gitv
CCTV4,http://192.168.0.101:35455/rptv/G_CCTV-4-HD-265-8M.m3u8?license=gitv
CCTV5,http://192.168.0.101:35455/rptv/G_CCTV-5-AVS-4K264.m3u8?license=gitv
CCTV5,http://192.168.0.101:35455/rptv/G_CCTV-5-HD-265-8M.m3u8?license=gitv
CCTV5+,http://192.168.0.101:35455/rptv/G_CCTV-5PLUS-HD-265-8M.m3u8?license=gitv
CCTV6,http://192.168.0.101:35455/rptv/G_CCTV-6-AVS-4K264.m3u8?license=gitv
CCTV6,http://192.168.0.101:35455/rptv/G_CCTV-6-HD-265-8M.m3u8?license=gitv
CCTV7,http://192.168.0.101:35455/rptv/G_CCTV-7-HD-265-8M.m3u8?license=gitv
CCTV8,http://192.168.0.101:35455/rptv/G_CCTV-8-AVS-4K264.m3u8?license=gitv
CCTV8,http://192.168.0.101:35455/rptv/G_CCTV-8-HD-265-8M.m3u8?license=gitv
CCTV9,http://192.168.0.101:35455/rptv/G_CCTV-9-HD-265-5M.m3u8?license=gitv
CCTV10,http://192.168.0.101:35455/rptv/G_CCTV-10-HD-265-8M.m3u8?license=gitv
CCTV11,http://192.168.0.101:35455/rptv/H265-5500k-1080P-cctv11.m3u8?license=gitv
CCTV12,http://192.168.0.101:35455/rptv/G_CCTV-12-HD-265-8M.m3u8?license=gitv
CCTV13,http://192.168.0.101:35455/rptv/G_CCTV-13-CQ.m3u8?license=gitv
CCTV14,http://192.168.0.101:35455/rptv/HD-8000k-1080P-cctv14.m3u8?license=gitv
CCTV15,http://192.168.0.101:35455/rptv/H265-5500k-1080P-cctv15.m3u8?license=gitv
CCTV16,http://192.168.0.101:35455/rptv/G_CCTV-16-CQ.m3u8?license=gitv
CCTV16-4K,http://192.168.0.101:35455/rptv/G_CCTV-16-4K.m3u8?license=gitv
CCTV17,http://192.168.0.101:35455/rptv/G_CCTV-17-HD.m3u8?license=gitv
CCTV4K,http://192.168.0.101:35455/rptv/G_CCTV-4K-HD.m3u8?license=gitv
第一剧场,http://192.168.0.101:35455/rptv/G_DIYIJC-CQ.m3u8?license=gitv
怀旧剧场,http://192.168.0.101:35455/rptv/G_HUAIJIUJC-CQ.m3u8?license=gitv
风云足球,http://192.168.0.101:35455/rptv/G_FENGSHANGZQ-CQ.m3u8?license=gitv
风云音乐,http://192.168.0.101:35455/rptv/G_FENGYUNYY-CQ.m3u8?license=gitv
风云剧场,http://192.168.0.101:35455/rptv/G_FENGYUNJC-CQ.m3u8?license=gitv
央视台球,http://192.168.0.101:35455/rptv/G_TAIQIU-CQ.m3u8?license=gitv
世界地理,http://192.168.0.101:35455/rptv/G_SHIJIEDL-CQ.m3u8?license=gitv
兵器科技,http://192.168.0.101:35455/rptv/G_BINGQIKJ-CQ.m3u8?license=gitv
女性时尚,http://192.168.0.101:35455/rptv/G_NVXINGSS-CQ.m3u8?license=gitv
高尔夫网球,http://192.168.0.101:35455/rptv/G_CCTV-GOLF-CQ.m3u8?license=gitv
央视文化,http://192.168.0.101:35455/rptv/G_CCTV-WENHUA-CQ.m3u8?license=gitv
电视指南,http://192.168.0.101:35455/rptv/G_DIANSHIZN-CQ.m3u8?license=gitv
CETV早期教育,http://192.168.0.101:35455/rptv/G_CETV-ZQJY-CQ.m3u8?license=gitv
CETV1,http://192.168.0.101:35455/rptv/G_CETV-1.m3u8?license=gitv
CETV2,http://192.168.0.101:35455/rptv/G_CETV-2.m3u8?license=gitv
CETV3,http://192.168.0.101:35455/rptv/G_CETV-3.m3u8?license=gitv
CETV4,http://192.168.0.101:35455/rptv/G_CETV-4.m3u8?license=gitv
CGTN,http://192.168.0.101:35455/rptv/G_CCTV-NEWS.m3u8?license=gitv
CGTN阿语,http://192.168.0.101:35455/rptv/G_CGTN_A.m3u8?license=gitv
CGTN俄语,http://192.168.0.101:35455/rptv/G_CGTN-PYCCNN.m3u8?license=gitv
CGTN法语,http://192.168.0.101:35455/rptv/G_CGTN-FRANCAIS.m3u8?license=gitv
CGTN西语,http://192.168.0.101:35455/rptv/G_CGTN-ESPANOL.m3u8?license=gitv

卫视,#genre#
凤凰中文,http://192.168.0.101:35455/rptv/HD-10000k-1080P-fhchinese5s.m3u8?license=cntv
凤凰资讯,http://192.168.0.101:35455/rptv/HD-10000k-1080P-fhzixun5s.m3u8?license=cntv
凤凰香港,http://192.168.0.101:35455/rptv/HD-10000k-1080P-fhhongkong5s.m3u8?license=cntv
湖南卫视,http://192.168.0.101:35455/rptv/G_HUNAN-HD-265-8M.m3u8?license=gitv
金鹰卡通,http://192.168.0.101:35455/rptv/G_JINYING.m3u8?license=gitv
浙江卫视,http://192.168.0.101:35455/rptv/G_ZHEJIANG-HD-265-8M.m3u8?license=gitv
江苏卫视,http://192.168.0.101:35455/rptv/G_JIANGSU-HD-265-8M.m3u8?license=gitv
东方卫视,http://192.168.0.101:35455/rptv/G_DONGFANG-HD-265-8M.m3u8?license=gitv
安徽卫视,http://192.168.0.101:35455/rptv/G_ANHUI-HD-265-8M.m3u8?license=gitv
北京卫视,http://192.168.0.101:35455/rptv/G_BEIJING-HD-265-8M.m3u8?license=gitv
天津卫视,http://192.168.0.101:35455/rptv/G_TIANJIN-HD-265-8M.m3u8?license=gitv
辽宁卫视,http://192.168.0.101:35455/rptv/G_LIAONING-HD-265-8M.m3u8?license=gitv
东南卫视,http://192.168.0.101:35455/rptv/H265-5500k-1080P-dongnanstv.m3u8?license=gitv
山东卫视,http://192.168.0.101:35455/rptv/G_SHANDONG-HD-265-8M.m3u8?license=gitv
黑龙江卫视,http://192.168.0.101:35455/rptv/G_HEILONGJIANG-HD-265-8M.m3u8?license=gitv
吉林卫视,http://192.168.0.101:35455/rptv/G_JILIN-CQ.m3u8?license=gitv
